MaTruong,TenTruong
01,THPT chuyên Lê Quý Đôn
02,THPT Phan Bội Châu
03,Trường THPT Lê Trung Đình
04,Trường THPT Pleiku
05,Quốc Học Quy Nhơn
06,THPT Lê Lợi
07,THPT chuyên Nguyễn Tất Thành
08,Trường THPT Trần Hưng Đạo
09,Trường THPT A Sanh
10,THPT Trưng Vương
11,THPT Số 3 An Nhơn
12,THPT Số 1 An Nhơn
13,THPT Vĩnh Thạnh
14,THPT Hòa Bình
15,Trường THPT Nguyễn Bỉnh Khiêm
16,THPT Số 1 Phù Mỹ
17,THPT Ngô Gia Tự  :Thành phố Tuy Hòa
18,THPT Chuyên Lương Văn Chánh
19,Trường THPT Phan Bội Châu
20,THPT Nguyễn Diêu
21,THPT Nguyễn Trường Tộ
22,THPT Ngô Mây
23,THPT Hoài Ân
24,"THPT Nguyễn Trung Trực  :TT Phù Mỹ, H. Phù Mỹ"
25,"THPT Trần Cao Vân  :72 Trần Cao Vân, TP. Quy Nhơn"
26,THPT Số 2 An Nhơn
27,THPT Nguyễn Hữu Quang
28,"THPT Nguyễn Thái Học  :127 Nguyễn Thái Học, TP. Quy Nhơn"
29,THPT Lý Tự Trọng
30,"Trường THPT Nguyễn Thị Minh Khai  :Xã A Dơk, H. Đak Đoa, Gia Lai"
31,THPT Nguyễn Thái Học
32,THPT Quy Nhơn
33,"THPT Nguyễn Hữu Quang  :Xã Cát Hưng, H. Phù Cát"
34,THPT Bình Dương
35,"THPT Xuân Diệu  :TT Tuy Phước, H. Tuy Phước"
36,THCS và THPT Chu Văn An
37,THPT Hùng Vương
38,THPT Phan Đình Phùng
39,THPT Trần Cao Vân
40,THPT Ngô Gia Tự
41,PT Dân tộc nội trú tỉnh
42,THPT Phan Chu Trinh
43,THPT Lê Quý Đôn
44,THPT Xuân Diệu
45,THPT Nguyễn Hồng Đạo
46,THPT Tây Sơn
47,Trường THPT Nguyễn Thái Học
48,THPT An Lương
49,"THPT Nguyễn Trường Tộ  :Đường Lê Duẩn, Ph. Đập Đá, thị xã An Nhơn"
50,Trường THPT Lương Thế Vinh
51,THPT Nguyễn Huệ
52,Trường THPT Hà Huy Tập
53,"THPT Quy Nhơn  :325 Nguyễn Thị Minh Khai, TP. Quy Nhơn"
54,THPT Vân Canh
55,Trường THPT Nguyễn Tất Thành
56,"THPT Số 3 An Nhơn  :Thôn Thọ Lộc 1, xã Nhơn Thọ, thị xã An Nhơn"
57,THPT Trần Quang Diệu
