MASV,DM1,DM2,DM3,DTC
4351010011,8.0,8.88,9.18,26.06
4351010019,8.4,7.8,8.0,24.2
4351010029,8.9,7.2,8.7,24.8
4351010030,9.4,8.4,8.5,26.3
4351010037,8.56,8.1,8.42,25.08
4351010045,8.1,8.7,8.5,25.3
4351010047,8.0,7.72,7.58,23.3
4351010055,8.7,8.74,8.02,25.46
4351010109,8.9,7.8,7.7,24.4
4351010061,8.4,8.26,8.7,25.36
4351010108,8.8,7.4,8.6,24.8
4351010062,8.8,8.3,8.6,25.7
4351010105,8.9,8.2,7.8,24.9
4351010066,8.0,9.3,8.4,25.7
4351010070,8.48,8.96,9.08,26.52
4351010071,8.3,8.3,8.0,24.6
4351010074,8.7,9.34,9.02,27.06
4351010107,9.5,9.4,9.4,28.3
4351010079,8.2,7.92,8.12,24.24
4351010087,9.08,9.2,9.24,27.52
4351010090,9.22,8.92,8.96,27.1
4351010092,8.88,8.4,8.0,25.28
4351010118,9.3,9.2,9.5,28.0
4351010097,8.8,7.7,8.8,25.3
4351020002,8.2,8.6,8.7,25.5
4351020020,8.37,9.0,8.9,26.27
4351020021,8.5,8.8,8.6,25.9
4351050001,6.46,6.2,6.3,18.96
4351050004,6.98,6.92,7.12,21.02
4351050005,7.2,6.8,7.8,21.8
4351050008,8.8,8.75,9.05,26.6
4351050955,5.8,5.5,7.0,18.3
4351050956,8.4,7.8,7.9,24.1
4351050010,6.76,6.38,6.16,19.3
4351051090,6.3,6.3,7.2,19.8
4351050013,5.77,6.83,6.7,19.3
4351050958,6.4,6.9,8.1,21.4
4351050018,7.1,7.2,7.8,22.1
4351050022,6.1,8.1,6.7,20.9
4351050446,7.2,6.1,7.4,20.7
4351050025,7.12,6.08,5.72,18.92
4351050961,5.9,6.7,7.3,19.9
4351051091,5.0,6.0,5.6,16.6
4351051086,5.9,6.7,6.2,18.5
4351050030,7.1,6.96,6.76,20.82
4351050032,6.5,6.6,6.9,20.0
4351050035,8.02,7.82,9.14,24.98
4351050457,7.3,6.6,6.0,19.9
4351050038,6.94,7.66,7.76,22.36
4351050040,5.67,6.23,6.23,18.13
4351051085,6.9,6.3,7.0,20.2
4351050045,6.43,6.83,5.2,18.46
4351050456,8.4,7.0,6.9,23.0
4351050928,5.78,6.22,5.86,17.86
4351050054,6.9,6.56,8.64,22.1
4351050967,7.4,8.0,6.7,22.1
4351050057,9.0,7.9,7.8,24.7
4351050059,6.0,5.5,7.8,19.3
4351050406,7.2,7.3,6.9,21.4
4351050063,5.7,5.9,7.5,19.1
4351050065,6.86,6.32,7.32,20.5
4351050073,7.4,7.5,6.0,20.9
4351050075,6.9,6.9,8.2,22.0
4351050078,6.5,6.6,6.0,19.1
4351050080,6.36,6.76,7.4,20.52
4351050412,6.36,7.38,7.42,21.16
4351050087,8.07,6.37,6.23,20.67
4351050093,7.1,6.6,8.08,21.78
4351050940,7.7,8.0,8.6,24.3
4351050097,6.76,6.68,8.48,21.92
4351050100,7.6,7.1,7.6,22.3
4351050102,8.1,6.9,7.4,22.4
4351050414,6.6,7.1,6.67,20.37
4351050103,7.9,7.33,7.33,22.56
4351050946,5.4,6.6,7.0,19.0
4351050109,6.1,6.07,7.03,19.2
4351050113,7.37,6.57,7.97,21.91
4351050116,7.2,6.8,7.8,21.8
4351050117,6.5,7.6,6.63,20.73
4351050974,7.6,5.6,7.7,20.9
4351050121,6.68,7.0,7.16,20.84
4351050123,6.7,6.8,7.86,21.36
4351050129,7.08,7.42,7.54,22.04
4351050130,6.4,6.34,5.3,18.04
4351050415,6.8,6.8,6.1,19.7
4351050925,6.0,6.8,6.8,19.6
4351050132,5.77,7.23,5.17,18.17
4351050133,5.33,7.23,6.73,19.29
4351050134,7.0,7.5,8.2,22.7
4351050136,8.4,8.9,7.3,24.6
4351050416,6.4,7.8,7.2,21.4
4351050139,6.4,6.8,6.6,19.8
4351050141,7.77,6.0,6.83,20.6
4351051057,6.25,7.8,4.2,18.25
4351051088,7.0,5.6,5.4,18.0
4351050155,7.6,6.7,6.5,20.8
4351051094,7.7,6.5,6.1,20.3
4351050157,5.9,6.5,5.4,17.8
4351051058,5.75,6.4,5.2,16.91
4351050939,7.3,5.5,6.9,19.7
4351050159,6.5,5.4,7.0,18.9
4351050162,7.2,7.8,7.1,22.1
4351050418,7.0,6.4,6.8,20.2
4351050452,6.7,6.9,7.4,21.0
4351050419,7.2,7.9,7.9,23.0
4351050166,6.3,7.1,6.3,19.7
4351050171,6.5,6.9,6.4,19.8
4351050981,8.1,8.4,8.3,24.8
4351050421,7.0,6.8,7.1,20.9
4351050174,7.34,7.42,7.62,22.38
4351050175,6.6,7.6,7.0,21.2
4351050178,5.54,5.84,6.64,18.02
4351050182,7.24,6.88,7.38,21.5
4351050184,6.07,5.67,6.7,18.44
4351051093,8.4,5.9,6.7,21.0
4351050187,8.53,8.33,7.16,24.02
4351050189,8.0,7.4,7.8,23.2
4351051084,7.3,7.7,7.7,22.7
4351050192,6.6,7.8,7.5,21.9
4351050193,7.88,8.9,8.48,25.26
4351050422,7.0,5.8,6.1,18.9
4351050199,8.4,9.5,8.0,25.9
4351050449,8.3,8.3,8.2,24.8
4351050983,8.4,7.2,6.6,22.2
4351050207,5.7,6.74,6.54,18.98
4351050984,7.0,7.6,7.4,22.0
4351050210,5.76,6.04,6.34,18.14
4351051092,6.0,5.9,6.8,18.7
4351050211,5.8,6.7,6.3,18.8
4351050212,7.66,8.08,7.28,23.02
4351050985,8.4,7.7,7.9,24.0
4351050221,6.7,5.6,8.1,20.4
4351050227,8.23,8.2,7.8,24.23
4351050425,6.2,6.4,6.8,19.4
4351050228,5.8,6.3,6.6,18.7
4351050233,7.8,7.1,6.8,21.7
4351050234,7.62,6.0,6.36,19.98
4351050235,7.4,8.6,6.8,22.8
4351050238,5.52,5.26,7.28,18.06
4351050426,7.4,7.9,7.0,22.3
4351050239,6.38,6.66,7.94,20.98
4351050427,6.2,6.6,7.3,20.1
4351050428,5.8,6.2,7.7,19.7
4351050451,5.9,6.8,7.1,19.8
4351050244,7.8,7.8,7.5,23.1
4351050245,4.97,6.17,6.97,18.11
4351050246,7.16,7.48,7.38,22.02
4351050248,5.3,6.8,5.8,17.9
4351050454,7.0,5.5,7.6,20.1
4351050257,6.8,6.93,8.03,21.76
4351050447,6.9,7.1,7.2,21.45
4351050993,8.1,7.2,7.0,22.3
4351050263,6.5,6.2,7.1,19.8
4351050264,7.66,7.62,7.92,23.2
4351050271,7.9,7.8,7.3,23.0
4351050994,8.8,7.8,8.3,24.9
4351050274,6.8,7.3,7.6,21.7
4351050450,7.5,7.6,7.5,22.6
4351050276,6.78,7.04,6.58,20.4
4351050278,7.1,6.3,5.78,19.18
4351050997,9.0,7.4,7.5,23.9
4351050432,7.7,7.5,7.8,23.0
4351050998,8.6,8.2,7.1,23.9
4351050287,6.6,7.6,5.9,20.1
4351050954,7.7,6.9,7.6,22.2
4351050290,7.36,7.76,7.44,22.56
4351051076,5.5,6.2,4.0,15.7
4351050292,6.73,5.47,6.2,18.4
4351050293,5.73,6.43,6.17,18.33
4351050299,6.6,6.5,6.1,19.2
4351050300,8.5,8.8,7.3,24.6
4351050433,7.35,8.35,8.7,24.4
4351050304,6.7,6.4,6.53,19.63
4351050305,7.77,7.5,7.47,22.74
4351051001,7.1,6.4,7.4,20.9
4351050435,6.3,6.7,7.9,20.9
4351050309,6.98,5.78,5.92,18.68
4351051089,5.95,5.2,6.25,17.4
4351050314,6.84,6.58,7.62,21.04
4351050320,9.42,9.32,9.16,27.9
4351050321,6.9,6.72,7.0,20.62
4351050324,7.9,7.3,7.7,22.9
4351050327,7.26,7.0,7.14,21.4
4351050328,7.04,6.24,6.26,19.54
4351050453,7.2,6.4,7.2,20.8
4351051004,6.0,6.1,7.0,19.1
4351050440,6.5,6.2,7.2,19.9
4351050334,7.3,7.9,8.0,23.2
4351050335,7.57,6.7,7.23,21.5
4351050343,6.56,5.74,7.46,19.76
4351051006,8.5,8.5,8.7,25.7
4351050345,6.6,7.33,7.27,21.2
4351050404,6.8,5.8,7.0,19.6
4351050351,6.6,6.4,7.8,20.8
4351051007,7.3,7.6,7.3,22.2
4351050352,7.5,8.52,8.04,24.06
4351051080,6.5,6.4,3.4,16.3
4351050355,6.23,5.83,5.87,17.93
4351050363,8.4,8.6,8.7,25.7
4351050373,6.2,7.1,6.86,20.16
4351051009,7.3,7.9,6.4,21.6
4351050374,6.98,6.4,5.96,19.34
4351051081,7.0,5.8,3.6,16.4
4351050377,7.6,7.8,7.5,22.9
4351050381,6.5,6.7,7.4,20.6
4351050385,9.12,7.76,8.78,25.66
4351051012,7.5,6.3,6.6,20.4
4351050443,7.4,7.1,8.7,23.2
4351050389,7.0,7.5,7.4,21.9
4351050394,5.1,6.3,6.7,18.1
4351050395,6.6,5.3,6.54,18.44
4351051087,6.2,6.8,7.5,20.5
4351050397,6.76,6.14,6.62,19.52
4351050400,7.04,5.7,6.38,19.12
4351140002,7.9,7.67,8.7,24.27
4351140098,7.6,7.5,7.5,22.6
4351140014,8.9,8.3,8.2,25.4
4351140016,6.97,6.53,8.1,21.6
4351140021,7.5,8.1,7.5,23.1
4351140023,8.08,7.9,7.2,23.18
4351140024,8.03,8.33,9.17,25.53
4351140025,9.0,8.8,8.2,26.0
4351140092,6.7,8.2,7.9,22.8
4351140033,9.0,8.7,9.1,26.8
4351140095,7.9,6.5,6.2,20.6
4351140039,8.47,8.3,8.07,24.84
4351140040,7.37,7.9,7.33,22.6
4351140044,8.7,7.9,7.9,24.5
4351140048,8.9,9.37,9.03,27.3
4351140093,8.6,6.6,7.3,21.9
4351140053,9.1,9.2,9.0,27.3
4351140054,8.1,6.9,6.7,21.7
4351140056,9.0,7.9,7.9,24.8
4351140064,7.26,7.58,7.58,22.42
4351140067,7.5,7.9,7.4,22.8
4351140074,7.96,7.84,7.9,23.7
4351140078,8.8,8.56,8.2,25.56
4351140105,8.8,8.8,8.8,26.4
4351140079,9.16,9.3,8.7,27.16
4351140082,9.07,6.8,7.97,23.84
4351140083,8.94,8.54,8.14,25.62
4351140086,6.9,8.9,7.1,22.9
4351140087,8.4,8.0,8.48,24.88
4351140088,8.8,7.86,7.58,24.24
4351150009,9.13,8.8,8.27,26.2
4351160002,7.0,8.0,8.8,23.8
4351160263,6.7,7.0,8.5,22.2
4351160127,7.9,7.7,6.7,22.3
4351160128,6.6,7.0,7.4,21.0
4351160009,8.1,6.7,7.3,22.1
4351160013,7.9,7.3,6.7,21.9
4351160014,6.2,6.1,6.8,19.1
4351160015,6.83,7.77,5.07,19.67
4351160016,7.83,6.83,6.9,21.56
4351160017,6.72,6.12,5.66,18.5
4351160025,6.2,6.4,7.6,20.2
4351160273,7.4,6.8,6.4,20.6
4351160028,7.24,5.62,6.18,19.04
4351160030,6.7,6.8,6.72,20.22
4351160031,6.34,6.74,7.26,20.34
4351160033,6.76,8.55,8.45,23.76
4351160035,6.9,7.6,5.8,20.3
4351160036,7.1,6.6,7.8,21.5
4351160037,6.73,8.37,8.33,23.43
4351160038,6.5,7.9,9.1,23.5
4351160293,6.9,7.18,7.32,21.4
4351160043,8.0,8.8,7.9,24.7
4351160044,7.2,6.13,6.27,19.6
4351160046,6.7,7.2,8.5,22.4
4351160049,5.74,6.52,6.54,18.8
4351160053,6.7,7.9,7.1,21.7
4351160299,5.2,5.8,6.3,17.3
4351160296,7.2,7.5,7.0,21.7
4351160132,6.08,7.38,5.88,19.34
4351160058,6.33,6.0,5.97,18.3
4351160059,6.24,5.58,6.5,18.32
4351160063,7.9,7.7,7.6,23.2
4351160064,7.02,7.42,8.1,22.54
4351160065,6.8,7.7,8.1,22.6
4351160066,5.6,6.5,6.9,19.0
4351160264,7.4,7.6,8.1,23.1
4351160068,7.9,7.0,7.3,22.2
4351160265,8.0,7.9,8.0,23.9
4351160139,7.4,7.2,7.9,22.5
4351160072,6.2,6.0,6.0,18.2
4351160075,5.5,6.9,7.43,19.83
4351160079,8.6,7.9,7.7,24.2
4351160080,6.78,7.18,5.88,19.84
4351160297,7.4,6.75,6.0,20.15
4351160261,6.7,6.4,7.0,21.1
4351160300,5.0,7.0,6.9,18.9
4351160091,8.4,7.7,7.4,23.5
4351160140,7.0,7.0,7.4,21.4
4351160095,6.2,6.9,7.5,20.6
4351160100,5.73,6.33,6.2,18.26
4351160286,7.6,8.2,7.0,22.8
4351160110,6.78,6.1,6.08,18.96
4351160301,7.8,7.8,7.8,23.4
4351160141,6.18,5.9,8.4,20.48
4351160112,6.8,7.6,6.5,20.9
4351160287,5.3,6.3,6.6,18.2
4351160262,7.5,6.6,8.1,22.2
4351160113,6.9,7.1,8.1,22.1
4351160302,7.0,5.5,7.2,19.2
4351160116,6.5,7.0,8.43,21.93
4351160117,5.2,6.0,6.6,17.8
4351160118,6.2,7.12,5.72,19.04
4351160143,8.6,7.8,7.7,24.1
4351160123,8.1,7.6,7.6,23.3
4351160291,6.7,7.6,7.5,21.8
4351170001,7.4,6.8,7.8,22.0
4351170270,7.0,6.9,6.3,20.2
4351170002,6.6,6.4,7.4,20.4
4351170214,6.4,6.9,7.3,20.6
4351170178,6.1,6.8,7.3,20.2
4351170179,7.3,6.8,6.5,20.6
4351170010,6.0,7.2,6.7,19.9
4351170228,8.1,7.7,7.1,22.9
4351170011,7.4,7.7,7.2,22.3
4351170014,6.96,7.18,6.22,20.36
4351170015,7.56,8.26,7.74,23.56
4351170180,7.2,7.5,8.5,23.2
4351170022,6.47,5.93,6.5,18.9
4351170023,5.76,6.64,5.82,18.22
4351170025,7.12,7.16,8.0,22.28
4351170182,5.3,6.8,6.8,18.9
4351170033,6.6,5.7,6.7,19.0
4351170043,7.5,7.6,6.57,21.67
4351170200,7.2,6.2,7.4,20.8
4351170037,7.5,7.3,6.86,21.66
4351170183,5.8,6.2,6.43,18.43
4351170038,5.37,6.83,6.6,18.8
4351170184,6.5,8.2,8.1,22.8
4351170048,6.23,8.6,8.0,22.83
4351170049,6.7,6.1,7.2,20.0
4351170050,6.73,5.93,6.53,19.19
4351170053,7.9,7.4,7.7,23.0
4351170056,7.8,7.9,8.5,24.2
4351170234,7.1,6.4,7.5,21.0
